path,published_risk,modified_risk,risk_change,trend
J->I->M->K,6.8,6.8,0.0,→ Sabit
J->I->M->L,5.2,5.3,0.09999999999999964,→ Sabit
J->I->M->N,5.2,5.3,0.09999999999999964,→ Sabit
J->K,6.5,6.5,0.0,→ Sabit
J->K->C,6.7,6.6,-0.10000000000000053,↓ İyileşen
J->K->C->B,7.0,6.9,-0.09999999999999964,→ Sabit
J->K->C->D,6.5,6.4,-0.09999999999999964,→ Sabit
J->K->C->M,6.6,6.7,0.10000000000000053,↑ Kötüleşen
J->K->C->N,5.0,5.0,0.0,→ Sabit
J->K->L,4.4,4.4,0.0,→ Sabit
J->K->L->G,4.8,4.7,-0.09999999999999964,→ Sabit
J->K->L->H,3.3,3.3,0.0,→ Sabit
J->K->L->M,4.8,5.0,0.20000000000000018,↑ Kötüleşen
J->K->L->N,3.3,3.3,0.0,→ Sabit
J->K->M,6.5,6.6,0.09999999999999964,→ Sabit
J->K->M->C,6.6,6.7,0.10000000000000053,↑ Kötüleşen
J->K->M->I,6.8,6.8,0.0,→ Sabit
J->K->M->L,4.8,5.0,0.20000000000000018,↑ Kötüleşen
J->K->M->N,4.8,5.0,0.20000000000000018,↑ Kötüleşen
K->C,6.6,6.4,-0.1999999999999993,↓ İyileşen
K->C->B,7.0,6.9,-0.09999999999999964,→ Sabit
K->C->B->A,7.2,7.2,0.0,→ Sabit
K->C->D,6.3,6.2,-0.09999999999999964,→ Sabit
K->C->D->E,6.5,6.2,-0.2999999999999998,↓ İyileşen
K->C->M,6.5,6.6,0.09999999999999964,→ Sabit
K->C->M->I,6.8,6.8,0.0,→ Sabit
K->C->M->L,4.9,4.9,0.0,→ Sabit
K->C->M->N,4.9,4.9,0.0,→ Sabit
K->C->N,4.4,4.3,-0.10000000000000053,↓ İyileşen
K->C->N->E,5.1,4.8,-0.2999999999999998,↓ İyileşen
K->C->N->L,3.3,3.2,-0.09999999999999964,→ Sabit
K->C->N->M,4.9,4.9,0.0,→ Sabit
K->C->N->O,3.3,5.0,1.7000000000000002,↑ Kötüleşen
